Proc,Cat,Sys,Param,Value
ggH,ggcat0,eesUp,dm,0.000319969705787
ggH,ggcat0,eesDown,dm,-0.000264833974893
ggH,ggcat0,eerUp,sigma,0.00147552240291
ggH,ggcat0,eerDown,sigma,-0.00153319486138
ggH,ggcat0,meUp,dm,0.000314143376264
ggH,ggcat0,meUp,sigma,8.18491218462e-06
ggH,ggcat0,meDown,dm,-0.000244154764378
ggH,ggcat0,meDown,sigma,-0.00169327713087
qqH,ggcat0,eesUp,dm,0.000315888327675
qqH,ggcat0,eesDown,dm,-0.000329209944586
qqH,ggcat0,eerUp,sigma,-0.000620752013666
qqH,ggcat0,eerDown,sigma,-0.00360580942509
qqH,ggcat0,meUp,dm,0.000306142535225
qqH,ggcat0,meUp,sigma,0.00148402411106
qqH,ggcat0,meDown,dm,-0.000311989720723
qqH,ggcat0,meDown,sigma,-0.000398455335104
ggH,ggcat1,eesUp,dm,0.000275298000054
ggH,ggcat1,eesDown,dm,-0.000284538684725
ggH,ggcat1,eerUp,sigma,0.00179633872242
ggH,ggcat1,eerDown,sigma,-0.00190894274158
ggH,ggcat1,meUp,dm,0.000284897694965
ggH,ggcat1,meUp,sigma,0.00106033160364
ggH,ggcat1,meDown,dm,-0.000295165585198
ggH,ggcat1,meDown,sigma,-0.00119626729816
