,2016,2017,2018
GluGlu_LFV_HToETau
TightOS,0.743811652431,0.78982385019,0.787386891115
TightOS0Jet,0.810814257199,0.86502910352,0.844686836115
TightOS1Jet,0.702417868239,0.747122535545,0.756066672066
TightOS2Jet,0.638537645554,0.652496440591,0.690929982694
TightOS2JetVBF,0.641755403134,0.690785112033,0.693833717843
VBFHToTauTau
TightOS,0.166350599132,0.192917946976,0.195061265298
TightOS0Jet,0.131931674719,0.161621671748,0.147939498939
TightOS1Jet,0.157281000278,0.19170447072,0.185024126883
TightOS2Jet,0.140585802048,0.156654823661,0.162912986378
TightOS2JetVBF,0.253990853261,0.274902279228,0.282555446253
GluGluHToTauTau
TightOS,0.201867773926,0.228556707154,0.231600722943
TightOS0Jet,0.225983054935,0.252630638675,0.252522296838
TightOS1Jet,0.187434944861,0.21474312129,0.221292976443
TightOS2Jet,0.167839570099,0.189715816555,0.198221410292
TightOS2JetVBF,0.187643876163,0.239103918571,0.229404370674
VBFHToWWTo2L2Nu
TightOS,0.390124485531,0.413232709837,0.415711380112
TightOS0Jet,0.259866537194,0.31255469796,0.283782556134
TightOS1Jet,0.359738485621,0.395164097538,0.380347171296
TightOS2Jet,0.41089186944,0.385294274023,0.421659734716
TightOS2JetVBF,0.504132273575,0.522207966051,0.517875458697
GluGluHToWWTo2L2Nu
TightOS,0.420367137629,0.436842117191,0.437931462042
TightOS0Jet,0.415194586693,0.439976491123,0.4309756806
TightOS1Jet,0.432177094413,0.43970803889,0.447572323086
TightOS2Jet,0.421971460707,0.420918679149,0.447270009591
TightOS2JetVBF,0.42066296216,0.47869864837,0.440860904512
VBF_LFV_HToETau
TightOS,0.608163547485,0.668677903853,0.662913701839
TightOS0Jet,0.542647657341,0.732975714887,0.608878126616
TightOS1Jet,0.595363851382,0.700089581055,0.650435962085
TightOS2Jet,0.581257068169,0.570077361893,0.625276309434
TightOS2JetVBF,0.736016936369,0.772908622425,0.768506756083
