TotalBkg,2016,2017,2018
Filter Efficiency,1.0,0.997,1.0
OppSign Efficiency,0.884,0.835,0.83
Trigger Efficiency,0.276,0.286,0.238
Kinematics Efficiency,1.0,1.0,1.0
DeltaR Efficiency,0.999,0.999,0.999
NJets Efficiency,0.937,0.903,0.921
Vetoes Efficiency,0.982,0.977,0.981
bjestVeto Efficiency,0.944,0.931,0.927
Obj1 ID Efficiency,0.514,0.62,0.59
Obj1 Iso Efficiency,0.926,0.921,0.929
Obj2 ID Efficiency,0.989,0.987,0.988
Obj2 Iso Efficiency,0.779,0.784,0.787
Overall Cut Efficiency,0.078,0.086,0.07

Diboson,2016,2017,2018
Filter Efficiency,0.999,0.994,1.0
OppSign Efficiency,0.706,0.723,0.723
Trigger Efficiency,0.233,0.288,0.278
Kinematics Efficiency,1.0,1.0,1.0
DeltaR Efficiency,0.996,0.996,0.996
NJets Efficiency,0.96,0.967,0.968
Vetoes Efficiency,0.845,0.851,0.852
bjestVeto Efficiency,0.98,0.978,0.981
Obj1 ID Efficiency,0.732,0.805,0.783
Obj1 Iso Efficiency,0.967,0.968,0.967
Obj2 ID Efficiency,0.984,0.977,0.986
Obj2 Iso Efficiency,0.913,0.883,0.9
Overall Cut Efficiency,0.083,0.111,0.109

TTbar,2016,2017,2018
Filter Efficiency,0.999,0.993,1.0
OppSign Efficiency,0.741,0.641,0.653
Trigger Efficiency,0.236,0.114,0.113
Kinematics Efficiency,1.0,1.0,1.0
DeltaR Efficiency,0.994,0.994,0.994
NJets Efficiency,0.59,0.493,0.546
Vetoes Efficiency,0.867,0.854,0.87
bjestVeto Efficiency,0.284,0.341,0.271
Obj1 ID Efficiency,0.731,0.746,0.763
Obj1 Iso Efficiency,0.936,0.91,0.922
Obj2 ID Efficiency,0.968,0.899,0.953
Obj2 Iso Efficiency,0.789,0.474,0.711
Overall Cut Efficiency,0.013,0.003,0.004

SingleT,2016,2017,2018
Filter Efficiency,0.999,0.993,1.0
OppSign Efficiency,0.621,0.669,0.618
Trigger Efficiency,0.051,0.22,0.081
Kinematics Efficiency,1.0,1.0,1.0
DeltaR Efficiency,0.996,0.994,0.996
NJets Efficiency,0.818,0.771,0.813
Vetoes Efficiency,0.941,0.914,0.943
bjestVeto Efficiency,0.682,0.5,0.651
Obj1 ID Efficiency,0.618,0.791,0.72
Obj1 Iso Efficiency,0.871,0.941,0.896
Obj2 ID Efficiency,0.877,0.923,0.884
Obj2 Iso Efficiency,0.25,0.563,0.267
Overall Cut Efficiency,0.002,0.02,0.004

Embedded,2016,2017,2018
Filter Efficiency,1.0,1.0,1.0
OppSign Efficiency,0.984,0.989,0.986
Trigger Efficiency,0.321,0.371,0.31
Kinematics Efficiency,1.0,1.0,1.0
DeltaR Efficiency,1.0,1.0,1.0
NJets Efficiency,0.97,0.965,0.968
Vetoes Efficiency,0.991,0.988,0.991
bjestVeto Efficiency,0.98,0.977,0.975
Obj1 ID Efficiency,0.507,0.614,0.582
Obj1 Iso Efficiency,0.927,0.92,0.93
Obj2 ID Efficiency,0.991,0.99,0.993
Obj2 Iso Efficiency,0.784,0.793,0.803
Overall Cut Efficiency,0.109,0.152,0.123

