GluGlu_LFV*root,2016,2017,2018
Filter Efficiency,0.999,0.987,1.0
OppSign Efficiency,0.884,0.897,0.895
Trigger Efficiency,0.681,0.775,0.764
Kinematics Efficiency,0.674,0.621,0.628
DeltaR Efficiency,1.0,1.0,1.0
NJets Efficiency,0.943,0.957,0.949
Vetoes Efficiency,0.95,0.948,0.947
bjestVeto Efficiency,0.983,0.984,0.983
Obj1 ID Efficiency,0.845,0.874,0.853
Obj2 ID Efficiency,0.554,0.57,0.568
tDecayMode Efficiency,0.912,0.949,0.948
dieleVeto Efficiency,0.998,0.996,0.996
Obj1 tight Efficiency,0.998,0.997,0.997
Obj2 tight Efficiency,0.586,0.675,0.649
Overall Cut Efficiency,0.152,0.178,0.173

VBF_LFV*root,2016,2017,2018
Filter Efficiency,0.999,0.985,1.0
OppSign Efficiency,0.835,0.84,0.838
Trigger Efficiency,0.686,0.767,0.754
Kinematics Efficiency,0.716,0.689,0.696
DeltaR Efficiency,0.999,0.999,0.999
NJets Efficiency,0.867,0.889,0.864
Vetoes Efficiency,0.888,0.899,0.893
bjestVeto Efficiency,0.966,0.966,0.963
Obj1 ID Efficiency,0.848,0.88,0.86
Obj2 ID Efficiency,0.462,0.494,0.492
tDecayMode Efficiency,0.926,0.939,0.937
dieleVeto Efficiency,0.996,0.994,0.995
Obj1 tight Efficiency,0.999,0.998,0.998
Obj2 tight Efficiency,0.637,0.686,0.665
Overall Cut Efficiency,0.11,0.137,0.128

