,2016,2017,2018
GluGlu_LFV_HToETau
TightOS,0.559304838036,0.578781891598,0.582713887383
TightOS0Jet,0.670206132378,0.702577604895,0.693327345046
TightOS1Jet,0.513569330967,0.530196174524,0.531317111859
TightOS2Jet,0.404043424217,0.409273804128,0.416376072231
TightOS2JetVBF,0.448036365282,0.438601666509,0.444316533975
VBFHToTauTau
TightOS,0.189710221837,0.226899820164,0.230343362723
TightOS0Jet,0.198147952102,0.255289438736,0.251898955919
TightOS1Jet,0.200235195579,0.241358568391,0.24397883232
TightOS2Jet,0.1650579408,0.201290549995,0.202480350219
TightOS2JetVBF,0.250127656418,0.290994834475,0.290137475764
GluGluHToTauTau
TightOS,0.26019572404,0.324811903869,0.330538253451
TightOS0Jet,0.331703526411,0.416229982422,0.420122882179
TightOS1Jet,0.243854786908,0.298909532856,0.302993415733
TightOS2Jet,0.181813041906,0.225834865091,0.225383338728
TightOS2JetVBF,0.214107799556,0.243796552554,0.244309174002
VBFHToWWTo2L2Nu
TightOS,0.047092209822,0.0541171322592,0.0546273786639
TightOS0Jet,0.0315141017163,0.0444438681081,0.038659742159
TightOS1Jet,0.0443621944926,0.0540233410209,0.0508761953421
TightOS2Jet,0.0569643776147,0.0555380608323,0.0656324298462
TightOS2JetVBF,0.0584442330505,0.0641894257826,0.0659994771479
GluGluHToWWTo2L2Nu
TightOS,0.0430751401479,0.0480986939679,0.0486638780087
TightOS0Jet,0.0346013422093,0.0440290223099,0.0417209723436
TightOS1Jet,0.0478888323548,0.0521755148773,0.054209982709
TightOS2Jet,0.0539153823569,0.0540852938922,0.0561316750648
TightOS2JetVBF,0.0449287882979,0.0506258345708,0.054892532221
VBF_LFV_HToETau
TightOS,0.427152158028,0.441085649198,0.44273946396
TightOS0Jet,0.485904573216,0.569709616249,0.518517932819
TightOS1Jet,0.460671189637,0.48949420985,0.473210048905
TightOS2Jet,0.384992076168,0.394592221477,0.404888481437
TightOS2JetVBF,0.471611018034,0.481697003292,0.477006493619
