,2016,2017,2018
GluGlu_LFV_HToMuTau
TightOS,0.363059709667,0.43022224012,0.436226603738
TightOS0Jet,0.412034983684,0.486633970007,0.480199068664
TightOS1Jet,0.335511779447,0.404740576507,0.412081895725
TightOS2Jet,0.29557759197,0.341228137076,0.361652707529
TightOS2JetVBF,0.34186567258,0.389984680209,0.383863730372
VBFHToTauTau
TightOS,0.129003369052,0.164227583949,0.163987830982
TightOS0Jet,0.102518855287,0.134398556526,0.125620428498
TightOS1Jet,0.122585244696,0.159741272719,0.154998559016
TightOS2Jet,0.10902417126,0.130865860262,0.137257024201
TightOS2JetVBF,0.208165072668,0.236805874586,0.237405489105
GluGluHToTauTau
TightOS,0.154953351545,0.195442297994,0.197686101819
TightOS0Jet,0.18290476922,0.219501485161,0.217062177816
TightOS1Jet,0.141240580848,0.181871378737,0.186503725544
TightOS2Jet,0.120951909908,0.16562736735,0.168078052606
TightOS2JetVBF,0.156067758553,0.192465885675,0.1910177081
VBFHToWWTo2L2Nu
TightOS,0.35397675419,0.394717333177,0.396138774048
TightOS0Jet,0.220642595052,0.271894660773,0.244781336257
TightOS1Jet,0.31257964917,0.362324213367,0.355036018034
TightOS2Jet,0.368045671698,0.363013524281,0.405036880912
TightOS2JetVBF,0.478937897327,0.517173350401,0.506108250942
GluGluHToWWTo2L2Nu
TightOS,0.353779221505,0.391839711283,0.393936100914
TightOS0Jet,0.341408861745,0.384113072403,0.379488542464
TightOS1Jet,0.361435330988,0.401593183906,0.404202797573
TightOS2Jet,0.367956234349,0.391552825456,0.415098501578
TightOS2JetVBF,0.399525463422,0.470864684951,0.433646263688
VBF_LFV_HToMuTau
TightOS,0.287546748468,0.341376211722,0.346957593877
TightOS0Jet,0.234054072422,0.323150855099,0.285870992591
TightOS1Jet,0.28239673217,0.347855895368,0.3336752386
TightOS2Jet,0.243812747365,0.278244489468,0.311186470945
TightOS2JetVBF,0.383958563094,0.449045965232,0.449001665411
