,2016,2017,2018
GluGlu_LFV_HToMuTau
TightOS,0.603095909282,0.61990129769,0.618942684675
TightOS0Jet,0.719621445871,0.745710472598,0.731308651603
TightOS1Jet,0.549295815024,0.564178307046,0.56594177312
TightOS2Jet,0.441562091774,0.445941071957,0.442660522744
TightOS2JetVBF,0.441358127327,0.484017598049,0.465853572679
VBFHToTauTau
TightOS,0.323045469903,0.354239428759,0.352481912952
TightOS0Jet,0.361382339529,0.413342011606,0.403258187075
TightOS1Jet,0.353621548996,0.380038067764,0.377099294675
TightOS2Jet,0.290940016304,0.330235402271,0.320399676742
TightOS2JetVBF,0.379573079833,0.400387648663,0.398112945341
GluGluHToTauTau
TightOS,0.40308120621,0.441502214745,0.440523539277
TightOS0Jet,0.500818585112,0.533180657356,0.530030870627
TightOS1Jet,0.375132907901,0.413226224531,0.407031207029
TightOS2Jet,0.289463549913,0.328307481446,0.323072913067
TightOS2JetVBF,0.333893838503,0.350196804313,0.357828401338
VBFHToWWTo2L2Nu
TightOS,0.0491459380077,0.0533285807243,0.0518162632397
TightOS0Jet,0.0391406558869,0.0451432527266,0.0388149916899
TightOS1Jet,0.0483284591675,0.0525379874333,0.0484215309743
TightOS2Jet,0.0550735327187,0.0544373520945,0.0618530048402
TightOS2JetVBF,0.0534539785923,0.0612138279486,0.0586011659096
GluGluHToWWTo2L2Nu
TightOS,0.0388014274999,0.0399004443939,0.0401158883125
TightOS0Jet,0.0307246149936,0.0322522936731,0.0311324070457
TightOS1Jet,0.0435925485391,0.0448401116727,0.0463723876479
TightOS2Jet,0.0477696973966,0.0502210562735,0.0524795484319
TightOS2JetVBF,0.0419672546867,0.0442071740827,0.0508042929291
VBF_LFV_HToMuTau
TightOS,0.476256927818,0.484697890364,0.483989664038
TightOS0Jet,0.565649440104,0.61635761176,0.575069530153
TightOS1Jet,0.509263491885,0.534586970893,0.518978532301
TightOS2Jet,0.444137035934,0.444525564407,0.450360916757
TightOS2JetVBF,0.505446509081,0.508060487672,0.501009540512
